ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
3239,5,38,"Team Todenhöfer","Löder, Dietmar",,Dietmar,Löder,1965,2,1,16,NA,0,0,0,'null',0,1,Dietmarloeder,1327525135834877952,2,1,dietmar.loder,100012324274461,3,2
3240,3,34,LKR,"Löffelsend, Tobias",,Tobias,Löffelsend,1977,2,1,2,NA,0,0,0,'null',0,1,smelloflavender,2301843883,2,1,tobias.loffelsend,100007585001514,3,2
3241,4,3,AfD,"Löhmann, Heinrich",,Heinrich,Löhmann,1961,2,3,2,54,0,0,0,'null',0,1,heiner_loehmann,398550240,2,0,'null','null',0,0
3242,9,48,"EB: Löhnert","Löhnert, Martin Christoph",,"Martin Christoph",Löhnert,2000,2,2,NA,239,0,0,0,'null',0,1,martinloehnert,1399299983380262912,2,1,Martin-C-Löhnert-101770165577526,101770165577526,1,2
3243,8,4,FDP,"Lohr, Hans-Günther",,Hans-Günther,Lohr,1970,2,2,NA,272,0,0,0,'null',0,0,'null','null',0,1,100012995703444,100012995703444,3,2
3244,5,4,FDP,"Löhrer, Frieder Cornelius",,"Frieder Cornelius",Löhrer,1956,2,2,NA,143,0,0,0,'null',0,1,fcl56,29405176,2,0,'null','null',0,0
3245,5,28,dieBasis,"Lohse, Achim",,Achim,Lohse,1974,2,2,NA,142,0,0,0,'null',0,1,AchimTattoo,1170797870636765190,2,1,achim.lohse.1,100064130493463,3,2
3246,9,16,BP,"Loibl, Wolfgang",,Wolfgang,Loibl,1967,2,1,19,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3247,9,6,GRÜNE,"Lommatzsch, Nicolas",,Nicolas,Lommatzsch,1989,2,2,NA,250,0,0,0,'null',0,1,NicoLommatzsch,3373842209,2,1,nicolas.lommatzsch,100000983452706,3,2
3248,5,21,DKP,"Lommes, Angelika",,Angelika,Lommes,1956,1,1,19,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3249,5,21,DKP,"Lommes, Peter",,Peter,Lommes,1956,2,1,16,NA,0,0,0,'null',0,0,'null','null',0,1,100017440926801,100017440926801,3,2
3250,1,6,GRÜNE,"Loop, Denise",,Denise,Loop,1994,1,3,5,2,0,1,2,'null',0,1,denise_loop,797403769378131968,1,1,denise.loop,100000493564714,1,2
3251,9,7,CSU,"Loos, Bernhard Siegfried",,"Bernhard Siegfried",Loos,1955,2,3,21,217,1,1,1,"25,7",1,0,'null','null',0,1,bernhard.loos.bundestag,224385594673898,1,1
3252,9,9,"Die PARTEI","Loos, Holger Karlheinz",,"Holger Karlheinz",Loos,1975,2,1,38,NA,0,0,0,'null',0,1,HolgerLoos,347127153,2,1,holger.loos,100001730951042,3,2
3253,8,21,DKP,"Lopau, Kornelia",,Kornelia,Lopau,1953,1,1,2,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3254,5,28,dieBasis,"Löper, Anna Hilde",,"Anna Hilde",Löper,1958,1,3,14,137,0,0,0,'null',0,0,'null','null',0,1,anna.loper.77,100002404359090,3,2
3255,6,10,Tierschutzpartei,"Lopez Vicente, Paula",,Paula,"Lopez Vicente",1997,1,1,6,NA,0,0,0,'null',0,0,'null','null',0,1,paula.lopezvicente,100002852133020,3,2
3256,3,1,CDU,"Lorentsen, Kerstin",,Kerstin,Lorentsen,1964,1,1,52,NA,0,0,0,'null',0,1,LoKerstin,2876684620,2,1,kerstin.lorentsen,100002112520419,3,2
3257,3,28,dieBasis,"Lorenz, Andy",,Andy,Lorenz,1980,2,1,10,NA,0,0,0,'null',0,0,'null','null',0,1,andy.lorenz.92,100001101694779,3,2
3258,5,2,SPD,"Lorenz, Jörg Roger",,"Jörg Roger",Lorenz,1956,2,1,66,NA,0,0,0,'null',0,1,JRLorenz,65336627,2,1,joerg.lorenz,1338254213,3,2
3259,3,28,dieBasis,"Lorenz, Melanie",,Melanie,Lorenz,1986,1,2,NA,32,0,0,0,'null',0,0,'null','null',0,1,Melli251986,100000883204382,3,2
3260,12,48,"EB: Lorenz","Lorenz, Ralf",,Ralf,Lorenz,1966,2,2,NA,59,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3261,5,4,FDP,"Lorenz, Ralph Albert",,"Ralph Albert",Lorenz,1970,2,3,57,97,0,0,0,'null',0,1,RalphLorenzFDP,2455244503,2,1,RalphLorenzFDP,115978825661253,1,1
3262,8,28,dieBasis,"Lorenz, Thomas Erwin",,"Thomas Erwin",Lorenz,1964,2,1,11,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3263,5,28,dieBasis,"Lorenzen, Stephan",,Stephan,Lorenzen,1969,2,2,NA,134,0,0,0,'null',0,0,'null','null',0,1,stephan.lorenzen.7,100002362937768,3,2
3264,9,39,UNABHÄNGIGE,"Lorey, Herbert Sebastian",,"Herbert Sebastian",Lorey,1963,2,3,3,250,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3265,14,14,V-Partei³,"Lörinczy, Thomas",,Thomas,Lörinczy,1970,2,3,1,162,0,0,0,'null',0,1,thlch,49819675,2,1,loerinczy,1443873022515878,1,2
3266,9,3,AfD,"Lösch, Daniel",,Daniel,Lösch,1999,2,2,NA,241,0,0,0,'null',0,0,'null','null',0,1,daniel.losch.94,100048340065321,3,2
3267,1,18,MLPD,"Losch, Monika",,Monika,Losch,1950,1,1,5,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
3268,9,6,GRÜNE,"Löschner, Isabell",,Isabell,Löschner,1989,1,1,43,NA,0,0,0,'null',0,1,ILoeschner,2951060687,2,0,'null','null',0,0
3269,9,13,ÖDP,"Lösel, Lisa",,Lisa,Lösel,1998,1,2,NA,236,0,0,0,'null',0,0,'null','null',0,1,callmeimperfectandcrazy,100001705737559,3,2
3270,11,2,SPD,"Loth, Barbara Eva",,"Barbara Eva",Loth,1957,1,1,12,NA,0,0,0,'null',0,1,Barbara1Loth,953986027,1,1,barbara.loth,820539081301513,1,1
3271,8,9,"Die PARTEI","Lötsch, Cornelius",,Cornelius,Lötsch,1995,2,2,NA,284,0,0,0,'null',0,0,'null','null',0,1,corneliusloetsch,100000689643236,3,2
3272,8,2,SPD,"Lotz, Anja",,Anja,Lotz,1966,1,3,29,276,0,0,0,'null',0,0,'null','null',0,1,anjalotzspd,105228455047256,1,2
3273,6,11,NPD,"Lotz, Markus",,Markus,Lotz,1986,2,1,4,NA,0,0,0,'null',0,0,'null','null',0,1,markus.lotz.86,100002401203992,3,2
3274,4,9,"Die PARTEI","Lotz, Tobias",,Tobias,Lotz,1971,2,1,11,NA,0,0,0,'null',0,0,'null','null',0,0,'null','null',0,0
